Timestamp,Noureddine_Rojbani_TS01_solar_radiation,Noureddine_Rojbani_TS01_wind_direction,Noureddine_Rojbani_TS01_air_humidity,Noureddine_Rojbani_TS01_wind_speed,Noureddine_Rojbani_TS01_temperature
2024-10-15T11:00:00,440,217.7,71.3,0.31,26.3
2024-10-15T11:30:00,502,122,64.5,0.26,27.8
2024-10-15T12:00:00,604,287.7,59.6,1.06,28.4
2024-10-15T12:30:00,665,19.6,54.4,1.55,29.3
2024-10-15T13:00:00,705,150.5,52.8,0.38,29.8
2024-10-15T13:30:00,726,42.1,51.1,0.19,30.2
2024-10-15T14:00:00,727,225.4,50.2,0.8,31
2024-10-15T14:30:00,717,28.2,45.7,1.35,31.3
2024-10-15T15:00:00,683,290.6,43.6,0.69,31.8
2024-10-15T15:30:00,638,146.1,42.2,0.5,32.8
2024-10-15T16:00:00,582,51.4,39.9,0.73,31.5
2024-10-15T16:30:00,509,50,39.7,0.85,32.2
2024-10-15T17:00:00,423,56.5,43,1.04,31.5
2024-10-15T17:30:00,337,199.5,40.6,0.54,32.1
2024-10-15T18:00:00,243,30.8,40,0.86,31.6
2024-10-15T18:30:00,154,346.5,42.8,0.76,30.6
2024-10-15T19:00:00,56,37.5,48.6,0.19,29.3
2024-10-15T19:30:00,12,74.6,53.6,1,27.5
2024-10-15T20:00:00,0,113.6,59.7,0.21,26.3
2024-10-15T20:30:00,0,68.6,67,0.78,25.2
2024-10-15T21:00:00,0,27.3,74.4,0.53,24.1
2024-10-15T21:30:00,0,344,79.1,0.58,23.3
2024-10-15T22:00:00,0,99.7,84.1,0.3,22.6
2024-10-15T22:30:00,0,172.7,86.2,0.21,22.1
2024-10-15T23:00:00,0,169.9,87.7,0.26,21.5
2024-10-15T23:30:00,0,312.1,88.6,0.23,21.2
2024-10-16T00:00:00,0,260,90.3,0.26,21.1
2024-10-16T00:30:00,0,158.6,89.6,0.2,21.1
2024-10-16T01:00:00,0,158.6,90.3,0.2,20.7
2024-10-16T01:30:00,0,174.5,91,0.38,20.2
2024-10-16T02:00:00,0,178.6,91.6,0.61,20.2
2024-10-16T02:30:00,0,190.7,91.4,0.49,20.4
2024-10-16T03:30:00,0,172.7,92.4,0.21,19.9
2024-10-16T04:00:00,1,185.2,93.4,0.15,19.7
2024-10-16T04:30:00,0,90.5,94.1,0.27,19.4
2024-10-16T05:00:00,0,42.1,94.5,0.06,19
2024-10-16T05:30:00,2,236.2,95.5,0.47,19
2024-10-16T06:00:00,1,320.3,96,0.49,18.9
2024-10-16T06:30:00,1,185.1,96.2,0.22,18.6
2024-10-16T07:00:00,0,174.6,96.7,0.37,18.7
2024-10-16T07:30:00,1,158.6,97,0.1,18.6
2024-10-16T08:00:00,0,68.6,97,0.11,18.2
2024-10-16T08:30:00,9,234.6,97.3,0.21,18
2024-10-16T09:00:00,34,54.6,97.5,0.21,18
2024-10-16T09:30:00,123,231.5,98.2,0.7,19.5
2024-10-16T10:00:00,241,81.2,98.1,0.48,20.9
2024-10-16T10:30:00,327,215.1,95.5,0.56,22.1
2024-10-16T11:00:00,430,182.3,75.8,0.91,24.2
2024-10-16T11:30:00,530,149.4,64.8,0.11,26.2
2024-10-16T12:00:00,601,181.8,54.3,0.05,28.2
2024-10-16T12:30:00,659,12.2,47.7,0.38,29.7
2024-10-16T13:00:00,699,312.2,40.7,0.47,31.7
2024-10-16T13:30:00,735,213.2,34.6,0.45,32.2
2024-10-16T14:00:00,678,188.3,31.8,0.43,33.3
2024-10-16T14:30:00,366,237.3,31,0.82,33.9
2024-10-16T15:00:00,463,189.9,30.7,1.46,34.5
2024-10-16T15:30:00,712,152.2,29,0.98,34.1
2024-10-16T16:00:00,462,126.6,27.3,1.02,34
2024-10-16T16:30:00,317,54.4,25.6,0.44,34.1
2024-10-16T17:00:00,523,64.3,24.2,0.75,35
2024-10-16T17:30:00,369,231.3,23.8,0.73,35.1
2024-10-16T18:00:00,72,182.6,24.6,0.11,34.5
2024-10-16T18:30:00,74,30,28.9,0.66,31.5
2024-10-16T19:00:00,86,68.7,29.7,0.26,31.2
2024-10-16T19:30:00,13,62.3,31.8,0.48,29.9
2024-10-16T20:00:00,0,33,45.7,1.35,28.6
2024-10-16T20:30:00,0,33.7,53.7,2.11,27.3
2024-10-16T21:00:00,0,293.6,56.5,0.64,26.4
2024-10-16T21:30:00,0,349.9,58.4,0.54,26
2024-10-16T22:00:00,0,222,63.5,0.82,25.7
2024-10-16T22:30:00,0,97.3,66.8,0.66,25.2
2024-10-16T23:00:00,0,132.1,70.9,0.23,24.7
2024-10-16T23:30:00,0,352.6,71.3,0,24.3
2024-10-17T00:00:00,0,23.8,73.6,0.16,23.7
2024-10-17T00:30:00,0,338.7,76,0.05,22.9
2024-10-17T01:00:00,1,113.7,76.6,0.11,22.5
2024-10-17T01:30:00,1,237.3,71,0.26,23.4
2024-10-17T02:00:00,0,185.2,69.7,0.23,23.5
2024-10-17T02:30:00,1,105.6,68,0.51,23.5
2024-10-17T03:30:00,0,132.2,64.4,0.16,23.8
2024-10-17T04:00:00,0,181.8,67,0.39,23.7
2024-10-17T04:30:00,0,5.2,72.7,0.34,22.3
2024-10-17T05:00:00,0,95.2,77,0.16,21.4
2024-10-17T05:30:00,0,350,78.6,0.26,21
2024-10-17T06:00:00,0,147.3,79.7,0.05,20.9
2024-10-17T06:30:00,0,12.3,81.7,0.37,20.7
2024-10-17T07:00:00,0,293.7,82.7,0.11,20.7
2024-10-17T07:30:00,1,132.1,85,0.07,20.4
2024-10-17T08:00:00,1,121.9,84.2,0,20.3
2024-10-17T08:30:00,6,171.2,80.9,0.48,20.2
2024-10-17T09:00:00,50,238.3,78.2,0.58,20
2024-10-17T09:30:00,122,185.2,73.8,0.58,21.2
2024-10-17T10:00:00,245,38.8,64,0.42,23.6
2024-10-17T10:30:00,370,262.7,43.1,0.65,27.3
2024-10-17T11:00:00,252,248.6,34.7,0.07,29.9
2024-10-17T11:30:00,365,95.3,30.9,0.35,30.9
2024-10-17T12:00:00,324,150.6,25.8,1.53,33.2
2024-10-17T12:30:00,202,121.9,24.6,0.26,32.7
2024-10-17T13:00:00,647,262.7,23.2,0.22,35
2024-10-17T13:30:00,752,198.4,21.4,0.81,35.1
2024-10-17T14:00:00,601,121.8,19.8,0.26,36.1
2024-10-17T14:30:00,628,218.9,18.4,0.44,37.2
2024-10-17T15:00:00,788,92.6,16.7,1.06,38.5
2024-10-17T15:30:00,193,150,18.7,1.44,36
2024-10-17T16:00:00,329,100,19.3,1.79,35.9
2024-10-17T16:30:00,559,127.6,18.6,0.32,37.4
2024-10-17T17:00:00,152,248.6,18.4,0.07,36.6
2024-10-17T17:30:00,141,53.9,20.5,1.06,34.5
2024-10-17T18:00:00,237,133.8,20.2,0.76,35.2
2024-10-17T18:30:00,136,97.7,26.6,0.56,33.9
2024-10-17T19:00:00,85,154.3,40.5,0.7,31.2
2024-10-17T19:30:00,14,31,45.5,0.85,29.8
2024-10-17T20:00:00,0,220.3,49.8,0.78,28.4
2024-10-17T20:30:00,0,158.7,52.8,0.14,27.7
2024-10-17T21:00:00,0,185.2,55,0.23,27.1
2024-10-17T21:30:00,0,357.1,56.3,0.33,26.5
2024-10-17T22:00:00,0,23.7,59.2,0.1,25.6
2024-10-17T22:30:00,1,158.6,56.7,0.21,25.5
2024-10-17T23:00:00,0,222.1,56.3,0.23,25.6
2024-10-17T23:30:00,0,275.2,58.8,0.23,24.9
2024-10-18T00:00:00,0,248.6,60.5,0.1,24.4
2024-10-18T00:30:00,0,248.8,61.9,0.15,23.7
2024-10-18T01:00:00,0,259.9,64.3,0.26,23.1
2024-10-18T01:30:00,0,338.7,65.7,0.16,22.9
2024-10-18T02:00:00,0,290.2,66,0.6,22.7
2024-10-18T02:30:00,0,352.7,66.9,0.05,22.4
2024-10-18T03:30:00,0,320.2,70.9,0.1,21.6
2024-10-18T04:00:00,0,293.7,71.4,0.05,21.6
2024-10-18T04:30:00,1,320.2,73.9,0.33,20.9
2024-10-18T05:00:00,0,324.6,77.7,0.11,20.3
2024-10-18T05:30:00,0,248.7,79.4,0.05,21.3
2024-10-18T06:00:00,0,321.3,86.9,0.88,21
2024-10-18T06:30:00,0,305,90.1,0.75,21.6
2024-10-18T07:00:00,0,304.5,89.2,1.58,22.3
2024-10-18T07:30:00,0,314.7,88,2.04,22.1
2024-10-18T08:00:00,0,91.8,87.7,0.39,21.6
2024-10-18T08:30:00,5,357.1,91.5,0.18,22.9
2024-10-18T09:00:00,36,314.2,89,1.25,23.4
2024-10-18T09:30:00,70,353.6,87.8,0.82,23.8
2024-10-18T10:00:00,133,313.1,84.1,1.44,24.5
2024-10-18T10:30:00,359,279.8,79.5,2.49,25.7
2024-10-18T11:00:00,421,327.5,74.8,0.54,26.5
2024-10-18T11:30:00,506,278.5,71.2,0.86,27
2024-10-18T12:00:00,319,73.4,68.9,0.63,27.3
2024-10-18T12:30:00,743,309.2,65.4,1.41,27.8
2024-10-18T13:00:00,363,312.2,63.5,0.82,28.1
2024-10-18T13:30:00,408,305.3,60.3,2.42,28.3
2024-10-18T14:00:00,745,337.8,56,3.27,29.7
2024-10-18T14:30:00,800,306.1,52.1,1.78,30.3
2024-10-18T15:00:00,344,297.2,54.5,1.78,29.9
2024-10-18T15:30:00,185,44.8,54.9,0.52,29.2
2024-10-18T16:00:00,591,309.8,51.5,1.22,30.3
2024-10-18T16:30:00,287,323.9,55.5,2.33,29.5
2024-10-18T17:00:00,159,54.3,59.3,2.58,27.8
2024-10-18T17:30:00,106,38.9,62.3,0.43,26.3
2024-10-18T18:00:00,75,341.9,64.3,2.81,25.4
2024-10-18T18:30:00,67,63.9,65.8,0.62,25.1
2024-10-18T19:00:00,58,300.3,66.5,1.57,24.9
2024-10-18T19:30:00,10,317.2,67.2,1.86,24.6
2024-10-18T20:00:00,0,338.7,68.8,0.63,24.1
2024-10-18T20:30:00,0,327.5,70.6,0.27,23.6
2024-10-18T21:00:00,0,338.8,73.2,0.07,23
2024-10-18T21:30:00,0,338.7,75.4,0.07,22.4
2024-10-18T22:00:00,0,352.6,77.1,0.15,22.1
2024-10-18T22:30:00,0,203.5,77,0.14,21.9
2024-10-18T23:00:00,0,350,79.6,0.26,21.3
2024-10-18T23:30:00,0,113.7,80.7,0.16,20.9
2024-10-19T00:00:00,0,338.6,81.6,0.2,20.8
2024-10-19T00:30:00,0,328,83.4,0.85,20.2
2024-10-19T01:00:00,0,312.1,84.4,0.1,20
2024-10-19T01:30:00,0,338.7,85.4,0.05,19.5
2024-10-19T02:00:00,1,316.1,84.6,0.67,19.5
2024-10-19T02:30:00,0,324.6,83.2,1.07,19.7
2024-10-19T03:30:00,1,327.3,84.6,0.26,19.4
2024-10-19T04:00:00,2,29.9,85.9,0.32,19.2
2024-10-19T04:30:00,1,43.8,81.6,0.73,20.7
2024-10-19T05:00:00,0,348.1,80.4,0.95,20.8
2024-10-19T05:30:00,0,68.7,81.8,0.14,20.5
2024-10-19T06:00:00,0,17.2,84.7,0.1,20
2024-10-19T06:30:00,0,328.7,79,0.9,20.1
2024-10-19T07:00:00,0,68.6,79.9,0.11,19.7
2024-10-19T07:30:00,0,354.9,77.4,0.92,20.1
2024-10-19T08:00:00,0,309,77.2,0.41,19.9
2024-10-19T08:30:00,3,37.7,78.1,0.1,19.5
2024-10-19T09:00:00,21,303.7,77.8,0.62,19.2
2024-10-19T09:30:00,66,324.6,75.1,0.21,19.7
2024-10-19T10:00:00,394,248.7,68.9,0.2,21.4
2024-10-19T10:30:00,367,39.6,63,1.62,22
2024-10-19T11:00:00,439,343.6,59.8,0.63,22.7
2024-10-19T11:30:00,272,206,58.8,0.81,22.4
2024-10-19T12:00:00,743,10.6,56.3,0.49,23.3
2024-10-19T12:30:00,208,353.9,57.2,0.6,22.6
2024-10-19T13:00:00,159,16.4,58.9,0.57,22
2024-10-19T13:30:00,240,2.9,55.4,1.13,22.9
2024-10-19T14:00:00,756,349.6,50.4,1.4,24.2
2024-10-19T14:30:00,768,44.2,47.4,0.62,25.1
