Timestamp,Noureddine_Rojbani_TS05_soil_moisture_30cm,Noureddine_Rojbani_TS04_soil_moisture_20cm,Noureddine_Rojbani_TS03_soil_moisture_10cm
2024-10-07T06:30:00,27.5,27.1,25
2024-10-07T07:00:00,27.4,27,24.9
2024-10-07T07:30:00,27.4,26.9,24.7
2024-10-07T08:00:00,27.4,26.8,24.6
2024-10-07T08:30:00,27.3,26.7,24.4
2024-10-07T09:00:00,27.3,26.6,24.3
2024-10-07T09:30:00,27.2,26.5,24.2
2024-10-07T10:00:00,27.2,26.5,24.1
2024-10-07T10:30:00,27.1,26.4,24
2024-10-07T11:00:00,27.1,26.3,24.1
2024-10-07T11:30:00,27,26.2,24.3
2024-10-07T12:00:00,27,26.2,24.6
2024-10-07T12:30:00,26.9,26.1,25
2024-10-07T13:00:00,26.9,26.1,25.6
2024-10-07T13:30:00,26.9,26.1,26.2
2024-10-07T14:00:00,26.8,26.1,26.9
2024-10-07T14:30:00,26.8,26.2,27.5
2024-10-07T15:00:00,26.8,26.3,28.2
2024-10-07T15:30:00,26.8,26.4,28.9
2024-10-07T16:00:00,26.8,26.5,29.5
2024-10-07T16:30:00,26.8,26.7,30.1
2024-10-07T17:00:00,26.8,26.9,30.5
2024-10-07T17:30:00,26.9,27.1,30.8
2024-10-07T18:00:00,26.9,27.3,30.9
2024-10-07T18:30:00,27,27.5,30.8
2024-10-07T19:00:00,27,27.6,30.7
2024-10-07T19:30:00,27.1,27.8,30.4
2024-10-07T20:00:00,27.2,27.9,30.1
2024-10-07T20:30:00,27.3,28,29.8
2024-10-07T21:00:00,27.3,28,29.4
2024-10-07T21:30:00,27.4,28.1,29.1
2024-10-07T22:00:00,27.5,28.1,28.8
2024-10-07T22:30:00,27.5,28.1,28.4
2024-10-07T23:00:00,27.6,28.1,28.1
2024-10-07T23:30:00,27.6,28.1,27.8
2024-10-08T00:00:00,27.6,28,27.6
2024-10-08T00:30:00,27.6,28,27.3
2024-10-08T01:00:00,27.7,27.9,27.1
2024-10-08T01:30:00,27.7,27.8,26.8
2024-10-08T02:00:00,27.7,27.8,26.6
2024-10-08T02:30:00,27.6,27.7,26.4
2024-10-08T03:00:00,27.6,27.6,26.2
2024-10-08T04:00:00,27.6,27.4,25.8
2024-10-08T04:30:00,27.6,27.4,25.7
2024-10-08T05:00:00,27.5,27.3,25.5
2024-10-08T05:30:00,27.5,27.2,25.4
2024-10-08T06:00:00,27.5,27.1,25.2
2024-10-08T06:30:00,27.4,27,25.1
2024-10-08T07:00:00,27.4,26.9,25
2024-10-08T07:30:00,27.4,26.9,24.8
2024-10-08T08:00:00,27.3,26.8,24.7
2024-10-08T08:30:00,27.3,26.7,24.6
2024-10-08T09:00:00,27.2,26.6,24.5
2024-10-08T09:30:00,27.2,26.5,24.4
2024-10-08T10:00:00,27.1,26.5,24.3
2024-10-08T10:30:00,27.1,26.4,24.3
2024-10-08T11:00:00,27,26.3,24.4
2024-10-08T11:30:00,27,26.2,24.5
2024-10-08T12:00:00,27,26.2,24.8
2024-10-08T12:30:00,26.9,26.1,25.2
2024-10-08T13:00:00,26.9,26.1,25.7
2024-10-08T13:30:00,26.8,26.1,26.2
2024-10-08T14:00:00,26.8,26.1,26.6
