Timestamp,Noureddine_Rojbani_TS06_soil_moisture_10cm,Noureddine_Rojbani_TS07_soil_moisture_20cm,Noureddine_Rojbani_TS08_soil_moisture_30cm
2024-10-05T00:00:00,27,28.6,28.4
2024-10-05T00:30:00,26.8,28.5,28.4
2024-10-05T01:00:00,26.6,28.5,28.4
2024-10-05T01:30:00,26.3,28.4,28.4
2024-10-05T02:00:00,26.1,28.3,28.4
2024-10-05T02:30:00,26,28.3,28.4
2024-10-07T04:00:00,26.1,27.9,27.7
2024-10-07T04:30:00,25.9,27.8,27.7
2024-10-07T05:00:00,25.7,27.7,27.7
2024-10-07T05:30:00,25.5,27.7,27.7
2024-10-07T06:00:00,25.4,27.6,27.7
2024-10-07T06:30:00,25.2,27.5,27.7
2024-10-07T07:00:00,25,27.5,27.7
2024-10-07T07:30:00,24.9,27.4,27.7
2024-10-07T08:00:00,24.7,27.3,27.7
2024-10-07T08:30:00,24.5,27.2,27.7
2024-10-07T09:00:00,24.4,27.1,27.7
2024-10-07T09:30:00,24.3,27.1,27.7
2024-10-07T10:00:00,24.2,27,27.6
2024-10-07T10:30:00,24.2,26.9,27.6
2024-10-07T11:00:00,24.3,26.8,27.6
2024-10-07T11:30:00,24.6,26.8,27.6
2024-10-07T12:00:00,24.9,26.7,27.5
2024-10-07T12:30:00,25.4,26.6,27.5
2024-10-07T13:00:00,26,26.6,27.5
2024-10-07T13:30:00,26.7,26.6,27.5
2024-10-07T14:00:00,27.3,26.6,27.4
2024-10-07T14:30:00,28,26.6,27.4
2024-10-07T15:00:00,28.6,26.7,27.4
2024-10-07T15:30:00,29.2,26.7,27.3
2024-10-07T16:00:00,29.8,26.8,27.3
2024-10-07T16:30:00,30.3,26.9,27.3
2024-10-07T17:00:00,30.6,27,27.3
2024-10-07T17:30:00,30.8,27.2,27.3
2024-10-07T18:00:00,30.9,27.3,27.3
2024-10-07T18:30:00,30.9,27.4,27.3
2024-10-07T19:00:00,30.9,27.6,27.3
2024-10-07T19:30:00,30.7,27.7,27.3
2024-10-07T20:00:00,30.5,27.8,27.3
