Timestamp,Noureddine_Rojbani_TS032_water_flow
2024-10-07T06:30:01,89
2024-10-07T07:00:01,89
2024-10-07T07:30:01,89
2024-10-07T08:00:01,89
2024-10-07T08:30:01,89
2024-10-07T09:00:01,89
2024-10-07T09:30:01,89
2024-10-07T10:00:01,91
2024-10-07T10:30:01,92
2024-10-07T11:00:01,94
2024-10-07T11:30:01,97
2024-10-07T12:00:01,99
2024-10-07T12:30:01,102
2024-10-07T13:00:01,104
2024-10-07T13:30:01,107
2024-10-07T14:00:01,107
2024-10-07T14:30:01,107
2024-10-07T15:00:01,107
2024-10-07T15:30:01,107
2024-10-07T16:00:01,107
2024-10-07T16:30:01,107
2024-10-07T17:00:01,107
2024-10-07T17:30:01,107
2024-10-07T18:00:01,107
2024-10-07T18:30:01,107
2024-10-07T19:00:01,107
2024-10-07T19:30:01,107
2024-10-07T20:00:01,107
2024-10-07T20:30:01,107
2024-10-07T21:00:01,107
2024-10-07T21:30:01,107
2024-10-07T22:00:01,107
2024-10-07T22:30:01,107
2024-10-07T23:00:01,107
2024-10-07T23:30:01,107
2024-10-08T00:00:01,107
2024-10-08T00:30:01,107
2024-10-08T01:00:01,107
2024-10-08T01:30:01,107
2024-10-08T02:00:01,107
2024-10-08T02:30:01,107
2024-10-08T03:00:01,107
2024-10-08T04:00:01,107
2024-10-08T04:30:01,107
2024-10-08T05:00:01,107
2024-10-08T05:30:01,107
2024-10-08T06:00:01,107
2024-10-08T06:30:01,107
2024-10-08T07:00:01,107
2024-10-08T07:30:01,107
2024-10-08T08:00:01,107
2024-10-08T08:30:01,107
2024-10-08T09:00:01,107
2024-10-08T09:30:01,107
2024-10-08T10:00:01,107
2024-10-08T10:30:01,107
2024-10-08T11:00:01,107
2024-10-08T11:30:01,107
2024-10-08T12:00:01,108
2024-10-08T12:30:01,110
2024-10-08T13:00:01,112
2024-10-08T13:30:01,113
2024-10-08T14:00:01,115
2024-10-08T14:30:01,115
2024-10-08T15:00:01,115
2024-10-08T15:30:01,115
2024-10-08T16:00:01,115
2024-10-08T16:30:01,115
2024-10-08T17:00:01,115
2024-10-08T17:30:01,117
2024-10-08T18:00:01,119
2024-10-08T18:30:01,120
2024-10-08T19:00:01,121
2024-10-08T19:30:01,121
2024-10-08T20:00:01,121
2024-10-08T20:30:01,121
2024-10-08T21:00:01,121
2024-10-08T21:30:01,121
2024-10-08T22:00:01,121
2024-10-08T22:30:01,121
2024-10-08T23:00:01,121
2024-10-08T23:30:01,121
2024-10-09T00:00:01,121
2024-10-09T00:30:01,121
2024-10-09T01:00:01,121
2024-10-09T01:30:01,121
2024-10-09T02:00:01,121
2024-10-09T02:30:01,121
2024-10-09T04:00:01,121
2024-10-09T04:30:01,121
2024-10-09T05:00:01,121
2024-10-09T05:30:01,121
2024-10-09T06:00:01,121
2024-10-09T06:30:01,121
2024-10-09T07:00:01,121
2024-10-09T07:30:01,121
2024-10-09T08:00:01,121
2024-10-09T08:30:01,121
2024-10-09T09:00:01,121
2024-10-09T09:30:01,121
2024-10-09T10:00:01,121
2024-10-09T10:30:01,121
2024-10-09T11:00:01,121
2024-10-09T11:30:01,121
2024-10-09T12:00:01,121
2024-10-09T12:30:01,121
2024-10-09T13:00:01,121
2024-10-09T13:30:01,121
2024-10-09T14:00:01,121
2024-10-09T14:30:01,121
2024-10-09T15:00:01,121
2024-10-09T15:30:01,121
2024-10-09T16:00:01,121
2024-10-09T16:30:01,121
2024-10-09T17:00:01,121
2024-10-09T17:30:01,121
2024-10-09T18:00:01,121
2024-10-09T18:30:01,121
2024-10-09T19:00:01,121
2024-10-09T19:30:01,121
2024-10-09T20:00:01,121
2024-10-09T20:30:01,121
2024-10-09T21:00:01,121
2024-10-09T21:30:01,121
2024-10-09T22:00:01,121
2024-10-09T22:30:01,121
2024-10-09T23:00:01,121
2024-10-09T23:30:01,121
