"Date","hurs","pr","tasmax","tasmin","SW_rad","wind"
"2018-01-01",77.2057342529297,2.49808692932129,14.1109485626221,6.41638517379761,73.7329976851852,2.62770820457314
"2018-01-02",87.1773223876953,6.19586324691772,15.080620765686,11.4394435882568,67.7939641203704,1.71659980090938
"2018-01-03",68.4595794677734,0.00759296957403421,18.6629104614258,10.3932180404663,127.246122685185,1.29231107030436
"2018-01-04",68.8248443603516,1.05542278289795,15.8952236175537,8.32824897766113,114.614189814815,2.89749051031352
"2018-01-05",84.3710174560547,21.9209022521973,14.4603443145752,10.7033567428589,57.6147453703704,3.54123329588027
"2018-01-06",90.1370468139648,10.030312538147,16.1759185791016,9.98493576049805,88.9530439814815,1.09981372508626
"2018-01-07",77.1729278564453,0.0227789077907801,17.6107978820801,8.29095363616943,131.743402777778,0.401060177464447
"2018-01-08",62.0274925231934,0,18.2624797821045,6.74222660064697,158.98337962963,0.609850019806077
"2018-01-09",66.3119659423828,0.0227789077907801,17.2829933166504,7.59216165542603,157.74712962963,0.661004862309823
"2018-01-10",74.8281173706055,0.0531507842242718,17.7305335998535,6.12587642669678,141.073136574074,0.632943706535896
"2018-01-11",47.9636383056641,0,21.666145324707,7.14265775680542,159.195289351852,1.52868746302882
"2018-01-12",53.4102478027344,0,19.3204822540283,11.0076055526733,146.944305555556,0.516367907172016
"2018-01-13",69.677604675293,0.0531507842242718,20.2234153747559,7.94155788421631,152.010219907407,0.107495036560993
"2018-01-14",73.4784240722656,6.68940591812134,17.0494079589844,10.8800172805786,110.065555555556,1.7414797995326
"2018-01-15",85.3984756469727,3.91037917137146,16.1327342987061,10.6699867248535,95.7447337962963,1.24275787224872
"2018-01-16",77.7989044189453,1.51100087165833,17.7207183837891,10.4049959182739,124.158414351852,0.165549659005245
"2018-01-17",85.6345443725586,5.86177253723145,15.3495378494263,10.2440376281738,106.486134259259,1.11088494873862
"2018-01-18",67.444465637207,6.65903425216675,18.2546272277832,9.13303756713867,151.14369212963,3.34927064683233
"2018-01-19",71.6254119873047,13.7888326644897,14.2719058990479,9.20566463470459,98.5080787037037,1.74218375276373
"2018-01-20",76.6969451904297,0.0607437565922737,15.9658880233765,6.70493173599243,130.902164351852,0.885667333252554
"2018-01-21",65.6068649291992,0,18.6530952453613,5.43101024627686,158.761851851852,0.93164974946033
"2018-01-22",57.8589820861816,0,19.2969264984131,8.78560447692871,172.57130787037,2.13319362421869
"2018-01-23",77.3914794921875,5.26192760467529,15.9757022857666,8.92889595031738,91.0920833333333,1.89267847434197
"2018-01-24",77.9826049804688,5.11006832122803,15.5536794662476,10.6326923370361,76.782181712963,1.04624174751658
"2018-01-25",85.8051452636719,13.9786567687988,14.4367895126343,9.1251859664917,100.106747685185,2.2763645328954
"2018-01-26",78.7202224731445,4.05464553833008,12.1009397506714,8.40872764587402,106.050289351852,3.30913060232674
"2018-01-27",84.7565765380859,1.26802587509155,12.8448791503906,8.42050457000732,98.2924768518518,1.75228501242955
"2018-01-28",79.3016967773438,0.273346900939941,14.8411464691162,8.92889595031738,116.735671296296,0.818127972261023
"2018-01-29",76.8117980957031,0.713739097118378,15.3318719863892,9.30773544311523,110.159398148148,0.903436044571898
"2018-01-30",77.3263931274414,0.250568002462387,16.0522556304932,7.80415487289429,108.479953703704,0.643088712924774
"2018-01-31",72.0139694213867,0.0607437565922737,17.4714317321777,8.44994831085205,171.425763888889,0.907421935181535
"2018-02-01",65.7939453125,0,19.7268009185791,5.94332695007324,183.988125,1.02506849975656
"2018-02-02",55.2945861816406,0,21.1616802215576,5.71170473098755,190.920740740741,0.797845411575095
"2018-02-03",52.594612121582,0,21.518928527832,8.47939205169678,188.749236111111,0.407724909069688
"2018-02-04",47.1192169189453,0,23.5505294799805,13.4749689102173,184.19181712963,0.534476422747376
"2018-02-05",41.0562400817871,0,23.4327545166016,15.8834457397461,145.311643518519,0.886289689527727
"2018-02-06",44.785774230957,0,22.1686477661133,15.6714525222778,100.829236111111,0.282102915884722
"2018-02-07",47.4413986206055,0,23.5937118530273,12.2403059005737,166.417777777778,0.69207366336057
"2018-02-08",52.1702041625977,0,23.823371887207,8.87393474578857,145.364375,0.322694417282402
"2018-02-09",48.3048706054688,0,25.4133186340332,16.811897277832,187.512465277778,0.303575176919072
"2018-02-10",49.4194145202637,0,26.0610752105713,15.3357973098755,152.480671296296,0.494493842114027
"2018-02-11",55.1208839416504,0.144266411662102,26.4497299194336,15.8363361358643,123.609675925926,0.694559204537503
"2018-02-12",78.6273422241211,6.47680282592773,20.1939716339111,14.2385368347168,119.948564814815,1.36281478578183
"2018-02-13",82.292724609375,20.2124843597412,15.8402624130249,10.1243009567261,108.117222222222,0.754479516737486
"2018-02-14",73.7117233276367,0.592251598834991,18.6275787353516,9.86127281188965,153.500092592593,0.38285261614662
"2018-02-15",67.005241394043,0,20.1252708435059,9.08200168609619,132.937384259259,1.07416830631603
"2018-02-16",68.563117980957,1.88305640220642,20.7730274200439,9.65909385681152,183.930439814815,0.363210504198996
"2018-02-17",85.5094223022461,24.6771507263184,14.9608840942383,10.6994304656982,136.774837962963,1.85740277234618
"2018-02-18",86.7719573974609,9.69622230529785,17.5676136016846,11.3805561065674,116.714837962963,2.34397123931796
"2018-02-19",73.1159133911133,1.04782974720001,18.6472072601318,11.3766307830811,172.618657407407,0.669122845730803
"2018-02-20",64.9498977661133,0,20.9634284973145,9.89856815338135,204.181527777778,0.598284545408003
"2018-02-21",66.4075317382812,1.04782974720001,19.5305118560791,12.3404140472412,204.731481481481,0.805743898215857
