Crop;Clim;Kc_in;Kc_mid;Kc_end;lgp_f1;lgp_f2;lgp_f3;lgp_f4;RD1;RD2;DF;Type;Irr_def_1;Irr_def_2;Irr_def_3;Early_irr;Late_irr;Limit_irr
wine_grapes;1;0.4;0.85;0.4;0.083333333;0.166666667;0.5;0.25;1;1;0.4;2;0.4;0.4;0.4;0;0.2;0.5
wine_grapes;2;0.4;0.85;0.4;0.142857143;0.285714286;0.19047619;0.380952381;1;1;0.4;2;0.4;0.4;0.4;0;0.2;0.5
wine_grapes;3;0.4;0.85;0.4;0.142857143;0.285714286;0.19047619;0.380952381;1;1;0.4;2;0.4;0.4;0.4;0;0.2;0.5
wine_grapes;4;0.4;0.85;0.4;0.083333333;0.166666667;0.5;0.25;1;1;0.4;2;0.4;0.4;0.4;0;0.2;0.5
olives;1;0.55;0.65;0.65;0.111111111;0.333333333;0.222222222;0.333333333;1.5;1.5;0.65;2;1;1;1;0;0.2;0.5
olives;2;0.55;0.65;0.65;0.111111111;0.333333333;0.222222222;0.333333333;1.5;1.5;0.65;2;1;1;1;0;0.2;0.5
olives;3;0.55;0.65;0.65;0.111111111;0.333333333;0.222222222;0.333333333;1.5;1.5;0.65;2;1;1;1;0;0.2;0.5
olives;4;0.55;0.65;0.65;0.111111111;0.333333333;0.222222222;0.333333333;1.5;1.5;0.65;2;1;1;1;0;0.2;0.5
cotton;1;0.35;1.2;0.6;0.153846154;0.256410256;0.307692308;0.282051282;0.2;1;0.65;1;1;1;1;0;0.2;0.5
cotton;2;0.35;1.2;0.6;0.153846154;0.256410256;0.307692308;0.282051282;0.2;1;0.65;1;1;1;1;0;0.2;0.5
cotton;3;0.35;1.2;0.6;0.153846154;0.256410256;0.307692308;0.282051282;0.2;1;0.65;1;1;1;1;0;0.2;0.5
cotton;4;0.35;1.2;0.6;0.153846154;0.256410256;0.307692308;0.282051282;0.2;1;0.65;1;1;1;1;0;0.2;0.5
alfalfa;1;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.5;2;1;1;1;0;0.2;0.5
alfalfa;2;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.5;2;1;1;1;0;0.2;0.5
alfalfa;3;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.5;2;1;1;1;0;0.2;0.5
alfalfa;4;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.5;2;1;1;1;0;0.2;0.5
pastures;1;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.6;2;0.4;0.4;0.4;0;0.2;0.5
pastures;2;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.6;2;0.4;0.4;0.4;0;0.2;0.5
pastures;3;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.6;2;0.4;0.4;0.4;0;0.2;0.5
pastures;4;1;1;1;0.074074074;0.111111111;0.555555556;0.259259259;1;1;0.6;2;0.4;0.4;0.4;0;0.2;0.5
perennial;1;0.85;0.85;0.85;0.295890411;0.180821918;0.460273973;0.063013699;0.8;0.8;0.5;2;1;1;1;0;0.2;0.5
perennial;2;0.85;0.85;0.85;0.295890411;0.180821918;0.460273973;0.063013699;0.8;0.8;0.5;2;1;1;1;0;0.2;0.5
perennial;3;0.85;0.85;0.85;0.295890411;0.180821918;0.460273973;0.063013699;0.8;0.8;0.5;2;1;1;1;0;0.2;0.5
perennial;4;0.85;0.85;0.85;0.295890411;0.180821918;0.460273973;0.063013699;0.8;0.8;0.5;2;1;1;1;0;0.2;0.5
temporary;1;0.7;1.05;0.95;0.150078989;0.235387046;0.396524487;0.218009479;0.2;1;0.5;1;1;1;1;0;0.2;0.5
temporary;2;0.7;1.05;0.95;0.220979021;0.232167832;0.337062937;0.20979021;0.2;1;0.5;1;1;1;1;0;0.2;0.5
temporary;3;0.7;1.05;0.95;0.160063391;0.242472266;0.366085578;0.231378764;0.2;1;0.5;1;1;1;1;0;0.2;0.5
temporary;4;0.7;1.05;0.95;0.160063391;0.242472266;0.366085578;0.231378764;0.2;1;0.5;1;1;1;1;0;0.2;0.5
Lettuce;3;0.7;1;0.95;0.2;0.3;0.3;0.2;0.3;0.4;0.5;1;0.5;0.5;0.5;0;0.2;0.5
Eggplant;3;0.4;1.15;0.8;0.15;0.25;0.4;0.2;0.4;0.6;0.6;1;0.5;0.5;0.5;0;0.2;0.5
Cucumber;3;0.5;1;0.75;0.2;0.3;0.3;0.2;0.3;0.5;0.5;1;0.5;0.5;0.5;0;0.2;0.5
Carrot;3;0.7;1.05;0.95;0.2;0.3;0.3;0.2;0.3;0.4;0.5;1;0.5;0.5;0.5;0;0.2;0.5
Guava;3;0.6;0.9;0.85;0.25;0.25;0.25;0.25;0.5;0.7;0.7;1;0.5;0.5;0.5;0;0.2;0.5
Banana;3;0.5;1.2;1.1;0.2;0.3;0.3;0.2;0.6;0.8;0.8;1;0.5;0.5;0.5;0;0.2;0.5
Fava Bean;3;0.4;1.15;0.3;0.15;0.35;0.35;0.15;0.4;0.6;0.6;1;0.5;0.5;0.5;0;0.2;0.5
Sugar Beet;3;0.4;1.15;0.7;0.15;0.35;0.35;0.15;0.4;0.6;0.6;1;0.5;0.5;0.5;0;0.2;0.5
Bean;3;0.4;1.15;0.3;0.15;0.35;0.35;0.15;0.4;0.6;0.6;1;0.5;0.5;0.5;0;0.2;0.5
Barley;3;0.7;1.15;0.25;0.2;0.3;0.3;0.2;0.3;0.5;0.5;1;0.5;0.5;0.5;0;0.2;0.5
Vetch;3;0.4;1.15;0.3;0.15;0.35;0.35;0.15;0.4;0.6;0.6;1;0.5;0.5;0.5;0;0.2;0.5
Radish;3;0.7;1;0.95;0.2;0.3;0.3;0.2;0.3;0.4;0.5;1;0.5;0.5;0.5;0;0.2;0.5
