"x"
0.5
6
108.5
209.5
502.5
431
514.5
549
443
607
334
177.5
43.5
0
0.5
1
0
0
0.5
0.5
0
0
0
0
6
77
137.5
304
572.5
630.5
602.5
616
307.5
384
177
43
0.5
0
0
0
0
0
0
0.5
0
0
0
3.5
95
237
329.5
564.5
717.5
718
660.5
541.5
409
194.5
46
0
0.5
0.5
0.5
0
0
0
0
0
0
0
7
89
280.5
387
409.5
671.5
780.5
624
550
291.5
187
44.5
0
0
0
0.5
1
0.5
0
0
0.5
0
0.5
0
3
58.5
238
244
446
762
726.5
672
557
396
207
43.5
0
0
0
0
1
0.5
0
0
0
1
1.5
1
5
46
314.5
508.5
645.5
720
730.5
672.5
560.5
400
212
34
0
0
0
0
0.5
0
0
0
0
0
0
1
5
70.5
298.5
478.5
613.5
687
698
641
526.5
368
183
31
0
0
0
0
0
0
0
0
0
0
0
0.5
4
53
