"x"
23.4
27.05
28.85
30
31.15
32.3
31.85
31.8
31.1
28.4
25.75
23.7
22.35
21.35
21.1
20.45
20.3
19.9
19.55
19
18.75
18.65
18.1
18.75
21.5
25.2
28.95
31.95
33.6
34.3
34.05
35.05
33
30.55
27.95
26.2
25.45
24.5
23.3
22.95
23.5
23.8
23
21.2
20.8
20.55
20.25
20.6
25.45
30.4
32.95
35.05
36.65
37.25
36.65
35.55
34.55
30.5
28.05
26.8
25.55
25.25
24.05
23
22.55
21.6
21.25
20.8
21.3
22.2
22.25
23.6
25.1
26.75
27.55
28.2
30
29.55
29.9
27.05
25.25
24.75
23.85
22.7
22
21.1
20.5
19.75
19.6
19.4
19.95
20.65
20.05
19.9
19.7
19.45
21.7
22.55
22.95
22.45
24.65
24.85
24.8
24.85
24.05
22.4
20.6
18.15
17.5
17.15
16.25
18
16.95
16.1
16.25
16.15
17
16.1
15.7
16.9
19.5
22.1
22.55
24.1
24.8
25.15
24.85
24.25
23.05
21.85
21
20.1
19.6
18.25
17.3
17
16.45
15.9
15.65
14.65
15.2
15.4
15.6
16.1
19.25
22.1
22.25
19.05
18.25
17.85
17.95
18.15
18.25
17.45
16.85
17.1
17.55
18.25
18.45
18.6
18.9
19.3
19.7
20.1
20.45
19.6
18.5
18.6
19.4
