"TIME";"Date";"Hour";"Hourly irrigation requirements (m3)";"Suggested Soil Moisture (%)";"Irrigation Suggested (m3)";"Irrigation Limit (m3)"
2024-10-11 00:00:00;"2024-10-11";0;34.0409453091742;10.1160186625194;0;0
2024-10-11 01:00:00;"2024-10-11";1;34.0398886388716;10.1150855365474;0;0
2024-10-11 02:00:00;"2024-10-11";2;34.0389491584413;10.114256091239;0;0
2024-10-11 04:00:00;"2024-10-11";4;34.045237248407;10.1131156039399;0;0
2024-10-11 05:00:00;"2024-10-11";5;34.0447672143521;10.1125972006221;0;0
2024-10-11 06:00:00;"2024-10-11";6;34.044179599565;10.1118714359772;0;0
2024-10-11 07:00:00;"2024-10-11";7;34.0507016490627;10.1110419906687;0;0
2024-10-11 08:00:00;"2024-10-11";8;34.0498785185764;10.1100051840332;0;0
2024-10-11 09:00:00;"2024-10-11";9;34.0492904718161;10.1092794193883;0;0
2024-10-11 10:00:00;"2024-10-11";10;34.056282069723;10.1085536547434;0;0
2024-10-11 11:00:00;"2024-10-11";11;29.6058433761628;10.1086573354069;4;4
2024-10-11 12:00:00;"2024-10-11";12;32.9411750251658;10.1092794193883;1;1
2024-10-11 13:00:00;"2024-10-11";13;34.0515246221323;10.1102125453603;0;0
2024-10-11 14:00:00;"2024-10-11";14;34.0464121089466;10.1120787973043;0;0
2024-10-11 15:00:00;"2024-10-11";15;34.0414148571239;10.1141524105754;0;0
2024-10-11 16:00:00;"2024-10-11";16;34.036298018187;10.1163297045101;0;0
2024-10-11 17:00:00;"2024-10-11";17;34.0377053213304;10.1176775531363;0;0
2024-10-11 18:00:00;"2024-10-11";18;31.8120644951359;10.1185069984448;2;2
2024-10-11 19:00:00;"2024-10-11";19;32.9209923472656;10.1185069984448;1;1
2024-10-11 20:00:00;"2024-10-11";20;34.0366498871389;10.1180922757906;0;0
2024-10-11 21:00:00;"2024-10-11";21;34.0350075857138;10.1169517884914;0;0
2024-10-11 22:00:00;"2024-10-11";22;34.0409453091742;10.1159149818559;0;0
2024-10-11 23:00:00;"2024-10-11";23;34.0395363577532;10.1147744945568;0;0
2024-10-12 00:00:00;"2024-10-12";0;34.0454722461802;10.1134266459305;0;0
2024-10-12 01:00:00;"2024-10-12";1;34.0442971289429;10.112389839295;0;0
2024-10-12 02:00:00;"2024-10-12";2;34.0504664849894;10.1111456713323;0;0
2024-10-12 03:00:00;"2024-10-12";3;34.0496433095152;10.1101088646967;0;0
2024-10-12 04:00:00;"2024-10-12";4;34.0484670713237;10.1087610160705;0;0
2024-10-12 05:00:00;"2024-10-12";5;34.0548700092372;10.1077242094349;0;0
2024-10-12 06:00:00;"2024-10-12";6;34.054163805225;10.1066874027994;0;0
2024-10-12 07:00:00;"2024-10-12";7;34.060683584066;10.1054432348367;0;0
2024-10-12 08:00:00;"2024-10-12";8;34.0602125252664;10.1047174701918;0;0
2024-10-12 09:00:00;"2024-10-12";9;34.0598591973343;10.1038880248834;0;0
2024-10-12 10:00:00;"2024-10-12";10;34.0672028495976;10.1035769828927;0;0
2024-10-12 11:00:00;"2024-10-12";11;34.0676740486359;10.1034733022291;0;0
2024-10-12 12:00:00;"2024-10-12";12;34.0617432779285;10.1045101088647;0;0
2024-10-12 13:00:00;"2024-10-12";13;34.063979553124;10.106065318818;0;0
2024-10-12 14:00:00;"2024-10-12";14;34.0593399457965;10.1083462934163;0;0
2024-10-12 15:00:00;"2024-10-12";15;34.0548149415244;10.1108346293416;0;0
2024-10-12 16:00:00;"2024-10-12";16;34.0498173915943;10.1132192846034;0;0
2024-10-12 17:00:00;"2024-10-12";17;34.0442310691535;10.1150855365474;0;0
2024-10-12 18:00:00;"2024-10-12";18;34.0378225758126;10.1163297045101;0;0
2024-10-12 19:00:00;"2024-10-12";19;34.0375880636519;10.1166407465008;0;0
2024-10-12 20:00:00;"2024-10-12";20;34.0437618284783;10.116122343183;0;0
2024-10-12 21:00:00;"2024-10-12";21;34.0423537993089;10.1153965785381;0;0
