"FAO_Code","Crop","Clim","Kc_in","Kc_mid","Kc_end","lgp_f1","lgp_f2","lgp_f3","lgp_f4","Season start","Season End","RD1","RD2","DF","Type","Irrigation","Part_irr_1","Part_irr_2","Part_irr_3"
2141,"wine_grapes",4,0.4,0.85,0.4,0.142857142857143,0.285714285714286,0.19047619047619,0.380952380952381,75,245,1,1,0.4,2,"D",0.4,0.4,0.4
2141,"wine_grapes",5,0.4,0.85,0.4,0.142857142857143,0.285714285714286,0.19047619047619,0.380952380952381,75,245,1,1,0.4,2,"D",0.4,0.4,0.4
2223,"olives",3,0.55,0.65,0.65,0.111111111,0.333333333,0.222222222,0.333333333,75,245,1.5,1.5,0.65,2,"D",1,1,1
2223,"olives",4,0.55,0.65,0.65,0.111111111,0.333333333,0.222222222,0.333333333,75,245,1.5,1.5,0.65,2,"D",1,1,1
2223,"olives",5,0.55,0.65,0.65,0.111111111,0.333333333,0.222222222,0.333333333,75,245,1.5,1.5,0.65,2,"D",1,1,1
1441,"cotton",3,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,150,300,0.2,1,0.65,1,"S",1,1,1
1441,"cotton",4,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,150,300,0.2,1,0.65,1,"S",1,1,1
1441,"cotton",5,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,150,300,0.2,1,0.65,1,"S",1,1,1
1711,"alfalfa",3,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.5,2,"S",1,1,1
1711,"alfalfa",4,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.5,2,"S",1,1,1
1711,"alfalfa",5,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.5,2,"S",1,1,1
991,"pastures",3,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.6,2,"S",0.4,0.4,0.4
991,"pastures",4,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.6,2,"S",0.4,0.4,0.4
991,"pastures",5,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.6,2,"S",0.4,0.4,0.4
992,"perennial",3,0.85,0.85,0.85,0.295890410958904,0.180821917808219,0.46027397260274,0.063013698630137,75,245,0.8,0.8,0.5,2,"D",1,1,1
992,"perennial",4,0.85,0.85,0.85,0.295890410958904,0.180821917808219,0.46027397260274,0.063013698630137,75,245,0.8,0.8,0.5,2,"D",1,1,1
992,"perennial",5,0.85,0.85,0.85,0.295890410958904,0.180821917808219,0.46027397260274,0.063013698630137,75,245,0.8,0.8,0.5,2,"D",1,1,1
991,"temporary",3,0.7,1.05,0.95,0.150078988941548,0.235387045813586,0.39652448657188,0.218009478672986,121,227,0.2,1,0.5,1,"S",1,1,1
991,"temporary",4,0.7,1.05,0.95,0.220979020979021,0.232167832167832,0.337062937062937,0.20979020979021,121,227,0.2,1,0.5,1,"S",1,1,1
991,"temporary",5,0.7,1.05,0.95,0.160063391442155,0.242472266244057,0.36608557844691,0.231378763866878,121,227,0.2,1,0.5,1,"S",1,1,1
