date,hurs_CMCC-CM2-SR5,hurs_CNRM-ESM2-1,hurs_EC-Earth3-Veg,hurs_IPSL-CM6A-LR,hurs_MIROC6,hurs_MPI-ESM1-2-HR,hurs_NorESM2-MM,hurs_UKESM1-0-LL,pr_CESM2,pr_CMCC-CM2-SR5,pr_CNRM-ESM2-1,pr_EC-Earth3-Veg,pr_IPSL-CM6A-LR,pr_MIROC6,pr_MPI-ESM1-2-HR,pr_NorESM2-MM,pr_UKESM1-0-LL,tasmax_CNRM-ESM2-1,tasmax_EC-Earth3-Veg,tasmax_IPSL-CM6A-LR,tasmax_MIROC6,tasmax_MPI-ESM1-2-HR,tasmax_NorESM2-MM,tasmax_UKESM1-0-LL,tasmin_CNRM-ESM2-1,tasmin_EC-Earth3-Veg,tasmin_IPSL-CM6A-LR,tasmin_MIROC6,tasmin_MPI-ESM1-2-HR,tasmin_NorESM2-MM,tasmin_UKESM1-0-LL
1991-01-16,81.9526,58.3571,82.4045,78.2175,63.9512,71.6946,51.8207,89.3398,0.0304661,0.16078,0.0389997,13.6789,2.21925,-2.77556e-14,-2.77556e-14,-2.77556e-14,12.7508,20.062,12.2822,16.4308,18.055,14.2845,14.9229,12.6705,8.74337,8.61279,8.95335,8.5245,3.85414,5.48933,7.54354
1991-01-17,87.338,60.6339,87.8061,68.557,55.9182,68.19,54.0461,88.7752,0.44633,10.9661,1.00203,9.91338,0.258942,0.112835,0.00759297,0.0524583,3.08888,20.0496,11.6396,18.0382,20.3518,15.3504,12.9577,14.2965,10.6558,8.55953,8.36157,9.59019,3.80265,6.42338,8.8007
1991-01-18,79.4574,65.4071,72.7656,77.5825,52.167,64.6383,66.5741,73.2977,0.138918,16.9169,0.945257,0.0332403,13.3323,0.0829297,0.0227789,1.15634,0.144927,14.2207,12.5542,16.647,22.3101,17.3591,14.8215,15.3089,6.78981,7.15863,7.51377,12.7317,7.35122,7.27257,8.21667
1991-01-19,67.5413,85.61,69.5774,90.7863,58.1419,76.233,60.2402,62.8053,2.26889,0.118849,13.5795,-2.77556e-14,21.0782,2.81871,2.84036,0.926749,0.0227789,11.9952,15.1803,12.6756,23.6898,13.7559,14.392,15.408,6.22698,3.57586,3.91661,14.5899,6.63932,9.68911,6.74686
1991-01-20,68.5119,87.6672,74.4092,89.7446,91.4198,84.3655,81.5296,60.5362,0.0143586,-2.77556e-14,30.5532,-2.77556e-14,22.8521,14.4857,10.1283,10.985,-2.77556e-14,12.1571,16.5457,10.88,15.1158,12.5387,13.5841,16.0757,8.26789,4.73014,3.79615,12.0918,7.04195,8.4782,5.97787
1991-01-21,68.4388,83.264,88.7213,87.5015,90.5693,86.6241,87.2643,61.1626,1.13617,-2.77556e-14,5.95995,24.2947,9.72759,3.62535,4.88474,5.82852,-2.77556e-14,12.8988,13.7397,10.8804,13.5995,12.1918,15.8313,17.3821,7.24596,7.98246,3.62509,9.41707,6.33812,8.99812,6.236
1991-01-22,63.7165,79.1585,77.9253,80.1463,84.5011,71.7632,79.8853,66.8811,1.31275,-2.77556e-14,1.02356,12.3771,8.83437,4.65356,-2.77556e-14,0.888923,-2.77556e-14,13.3769,11.0866,13.7986,13.8982,14.6031,15.6284,16.9044,5.68921,7.30263,5.19768,7.21706,3.74835,8.25902,5.8445
1991-01-23,66.2598,76.3346,76.9561,71.8005,87.2905,61.9918,63.0654,72.2924,0.169223,-2.77556e-14,0.319482,7.35657,0.357699,12.0648,0.033357,0.0352548,-2.77556e-14,12.9802,10.3378,16.1536,12.0634,15.0023,17.1013,16.0286,4.51117,6.71962,6.0038,6.97163,2.71428,6.77369,6.17659
1991-01-24,72.6348,71.0275,73.1227,72.6104,85.5802,60.2681,67.339,66.2906,12.9116,0.0227789,0.0815035,1.46707,0.053212,2.85246,-2.77556e-14,0.511263,-2.77556e-14,13.2178,11.8402,16.5656,12.9144,16.9671,14.9196,16.1709,3.3482,5.3705,5.12705,7.57985,4.08834,7.74649,7.75185
1991-01-25,65.8747,61.1636,80.75,70.6781,82.2585,65.2998,76.1843,71.9792,14.0638,-2.77556e-14,0.00759297,1.12002,0.126095,3.90865,1.41485,16.8447,2.70296,16.1521,11.6159,17.8342,14.2002,13.8561,14.5591,14.4202,4.94364,6.39143,4.96933,7.01166,6.33868,7.86708,8.72324
