"Code","Crop","Clim","Kc_in","Kc_mid","Kc_end","lgp_f1","lgp_f2","lgp_f3","lgp_f4","Season start","Season End","RD1","RD2","DF","Type","Irrigation","Part_irr_1","Part_irr_2","Part_irr_3"
13,"tomato",1,0.15,1.1,0.7,0.206896552,0.275862069,0.310344828,0.206896552,121,227,0.4,1.5,0.4,1,"D",1,1,1
13,"tomato",2,0.15,1.1,0.7,0.206896552,0.275862069,0.310344828,0.206896552,121,227,0.4,1.5,0.4,1,"D",1,1,1
13,"tomato",3,0.15,1.1,0.7,0.206896552,0.275862069,0.310344828,0.206896552,121,227,0.4,1.5,0.4,1,"D",1,1,1
14,"citrus",1,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,1,365,0.5,0.5,0.5,2,"D",0.8,0.7,0.5
14,"citrus",2,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,1,365,0.5,0.5,0.5,2,"D",0.8,0.7,0.5
14,"citrus",3,0.7,0.65,0.7,0.164383561643836,0.246575342465753,0.328767123287671,0.26027397260274,1,365,0.5,0.5,0.5,2,"D",0.8,0.7,0.5
15,"almond",1,0.4,0.9,0.65,0,0.5,0.4,0.1,42,259,1.5,1.5,0.4,1,"D",1,1,1
15,"almond",2,0.4,0.9,0.65,0,0.5,0.4,0.1,259,42,1.5,1.5,0.4,1,"D",1,1,1
15,"almond",3,0.4,0.9,0.65,0,0.5,0.4,0.1,42,259,1.5,1.5,0.4,1,"D",1,1,1
16,"date_palm",1,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,150,300,1.5,1.5,0.5,2,"D",1,1,1
16,"date_palm",2,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,150,300,1.5,1.5,0.5,2,"D",1,1,1
16,"date_palm",3,0.9,0.95,0.95,0.328767123287671,0.164383561643836,0.493150684931507,0.0136986301369863,150,300,1.5,1.5,0.5,2,"D",1,1,1
17,"peach",1,0.55,0.9,0.65,0.07407407,0.2592593,0.4444444,0.2222222,75,345,1.5,1.5,0.5,2,"D",1,1,1
17,"peach",2,0.55,0.9,0.65,0.07407407,0.2592593,0.4444444,0.2222222,75,345,1.5,1.5,0.5,2,"D",1,1,1
17,"peach",3,0.55,0.9,0.65,0.07407407,0.2592593,0.4444444,0.2222222,75,345,1.5,1.5,0.5,2,"D",1,1,1
18,"wine_grapes",1,0.4,0.7,0.45,0.1428571,0.2857143,0.1904762,0.3809524,92,259,1,1,0.4,2,"D",0.4,0.4,0.4
18,"wine_grapes",2,0.4,0.85,0.4,0.08333333,0.1666667,0.5,0.25,92,259,1,1,0.4,2,"D",0.4,0.4,0.4
18,"wine_grapes",3,0.4,0.85,0.4,0.142857142857143,0.285714285714286,0.19047619047619,0.380952380952381,92,259,1,1,0.4,2,"D",0.4,0.4,0.4
19,"olives",1,0.55,0.65,0.65,0.111111111,0.333333333,0.222222222,0.333333333,75,245,1.5,1.5,0.65,2,"D",1,1,1
19,"olives",2,0.55,0.65,0.65,0.111111111,0.333333333,0.222222222,0.333333333,75,245,1.5,1.5,0.65,2,"D",1,1,1
19,"olives",3,0.55,0.65,0.65,0.111111111,0.333333333,0.222222222,0.333333333,75,245,1.5,1.5,0.65,2,"D",1,1,1
20,"cotton",1,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,150,300,0.2,1,0.65,1,"S",1,1,1
20,"cotton",2,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,150,300,0.2,1,0.65,1,"S",1,1,1
20,"cotton",3,0.35,1.2,0.6,0.153846153846154,0.256410256410256,0.307692307692308,0.282051282051282,150,300,0.2,1,0.65,1,"S",1,1,1
21,"alfalfa",1,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.5,2,"S",1,1,1
21,"alfalfa",2,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.5,2,"S",1,1,1
21,"alfalfa",3,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.5,2,"S",1,1,1
22,"pastures",1,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.6,2,"S",0.4,0.4,0.4
22,"pastures",2,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.6,2,"S",0.4,0.4,0.4
22,"pastures",3,1,1,1,0.0740740740740741,0.111111111111111,0.555555555555556,0.259259259259259,1,365,1,1,0.6,2,"S",0.4,0.4,0.4
23,"perennial",1,0.85,0.85,0.85,0.295890410958904,0.180821917808219,0.46027397260274,0.063013698630137,75,245,0.8,0.8,0.5,2,"D",1,1,1
23,"perennial",2,0.85,0.85,0.85,0.295890410958904,0.180821917808219,0.46027397260274,0.063013698630137,75,245,0.8,0.8,0.5,2,"D",1,1,1
23,"perennial",3,0.85,0.85,0.85,0.295890410958904,0.180821917808219,0.46027397260274,0.063013698630137,75,245,0.8,0.8,0.5,2,"D",1,1,1
24,"temporary",1,0.7,1.05,0.95,0.150078988941548,0.235387045813586,0.39652448657188,0.218009478672986,121,227,0.2,1,0.5,1,"S",1,1,1
24,"temporary",2,0.7,1.05,0.95,0.220979020979021,0.232167832167832,0.337062937062937,0.20979020979021,121,227,0.2,1,0.5,1,"S",1,1,1
24,"temporary",3,0.7,1.05,0.95,0.160063391442155,0.242472266244057,0.36608557844691,0.231378763866878,121,227,0.2,1,0.5,1,"S",1,1,1
