"TIME";"Date";"Hour";"Irr_vol_m3";"Irr_deficit_m3";"Soil_moisture"
2024-10-21 07:00:00;"2024-10-21";7;79.765853826332;79.765853826332;0.141709852908936
2024-10-21 08:00:00;"2024-10-21";8;83.0858517170241;83.0858517170241;10
2024-10-21 09:00:00;"2024-10-21";9;83.0861587322348;83.0861587322348;10.0003293413858
2024-10-21 10:00:00;"2024-10-21";10;83.0861587679071;83.0861587679071;10.0003293796528
2024-10-21 11:00:00;"2024-10-21";11;83.0861588043022;83.0861588043022;10.0003294186951
2024-10-21 12:00:00;"2024-10-21";12;83.0861588413716;83.0861588413716;10.0003294584608
2024-10-21 13:00:00;"2024-10-21";13;83.0861588790673;83.0861588790673;10.0003294988984
2024-10-21 14:00:00;"2024-10-21";14;83.0861589173415;83.0861589173415;10.0003295399564
2024-10-21 15:00:00;"2024-10-21";15;83.0861589346314;83.0861589346314;10.0003295585039
2024-10-21 16:00:00;"2024-10-21";16;83.0861589520901;83.0861589520901;10.0003295772324
2024-10-21 17:00:00;"2024-10-21";17;63.8299041737921;63.8299041737921;10.0003295961439
2024-10-21 18:00:00;"2024-10-21";18;47.1205197910337;47.1205197910337;14.1708860177851
2024-10-21 19:00:00;"2024-10-21";19;29.1974806588624;20.4382364612036;18.1821290636712
2024-10-21 20:00:00;"2024-10-21";20;10.5913668761364;7.4139568132955;22.0844746230627
2024-10-21 21:00:00;"2024-10-21";21;10.7824589238295;7.54772124668066;25.9000725120699
2024-10-21 22:00:00;"2024-10-21";22;10.7824592946507;7.54772150625552;25.9000804508717
2024-10-21 23:00:00;"2024-10-21";23;10.7824603397529;7.54772223782706;25.9001028251666
2024-10-21 00:00:00;"2024-10-21";0;10.7824620590592;7.54772344134146;25.9001396333418
2024-10-21 01:00:00;"2024-10-21";1;10.1729030202218;7.12103211415527;25.900190881632
2024-10-22 02:00:00;"2024-10-22";2;10.2933239730897;7.20532678116282;26.0189379023845
2024-10-22 03:00:00;"2024-10-22";3;10.3083665664917;7.21585659654422;26.0143431766008
2024-10-22 04:00:00;"2024-10-22";4;10.3537985734306;7.24765900140141;26.007454545414
2024-10-22 05:00:00;"2024-10-22";5;10.4142090852275;7.28994635965926;25.9946842997966
2024-10-22 06:00:00;"2024-10-22";6;10.504967750333;7.3534774252331;25.9789665544486
2024-10-22 07:00:00;"2024-10-22";7;10.5653237428402;7.39572661998813;25.9653628096349
2024-10-22 08:00:00;"2024-10-22";8;10.6408884022457;7.44862188157197;25.9511871137546
2024-10-22 09:00:00;"2024-10-22";9;10.7163857859522;7.50147005016657;25.9357685582621
2024-10-22 10:00:00;"2024-10-22";10;10.7918762899469;7.5543134029628;25.9204284335862
2024-10-22 11:00:00;"2024-10-22";11;10.8825995892952;7.61781971250666;25.9051717432952
2024-10-22 12:00:00;"2024-10-22";12;10.9731750649578;7.68122254547046;25.887068752775
2024-10-22 13:00:00;"2024-10-22";13;11.063740148355;7.74461810384847;25.8690593250579
2024-10-22 14:00:00;"2024-10-22";14;11.1542951922619;7.80800663458331;25.8511485654115
2024-10-22 15:00:00;"2024-10-22";15;11.2297642862946;7.86083500040622;25.8365883623309
2024-10-22 16:00:00;"2024-10-22";16;11.2901293104633;7.90309051732433;25.8248778194783
2024-10-22 17:00:00;"2024-10-22";17;11.3353950821464;7.93477655750251;25.8160182714504
2024-10-22 18:00:00;"2024-10-22";18;11.3806203329731;7.96643423308118;25.8064135970649
2024-10-22 19:00:00;"2024-10-22";19;11.4108732069068;7.98761124483476;25.8021247589948
2024-10-22 20:00:00;"2024-10-22";20;11.410801487314;7.9875610411198;25.8006794165719
2024-10-22 21:00:00;"2024-10-22";21;11.4108057220815;7.98756400545704;25.800764756514
2024-10-22 22:00:00;"2024-10-22";22;11.4108097290325;7.98756681032276;25.8008455056806
2024-10-22 23:00:00;"2024-10-22";23;11.4108135073094;7.98756945511655;25.8009216467483
2024-10-22 00:00:00;"2024-10-22";0;11.4108170560457;7.987571939232;25.8009931622229
2024-10-22 01:00:00;"2024-10-22";1;11.4108203743666;7.98757426205665;25.8010600344381
2024-10-23 02:00:00;"2024-10-23";2;11.5411458296066;8.07880208072465;25.8011222455538
2024-10-23 03:00:00;"2024-10-23";3;11.6164666949872;8.13152668649102;25.7844689722018
2024-10-23 04:00:00;"2024-10-23";4;11.782456071423;8.24771924999611;25.7541437750747
2024-10-23 05:00:00;"2024-10-23";5;12.0236031662623;8.4165222163836;25.7060315136732
2024-10-23 06:00:00;"2024-10-23";6;12.355176898306;8.64862382881422;25.6430299762936
2024-10-23 07:00:00;"2024-10-23";7;12.5961519382238;8.81730635675664;25.5963250664526
2024-10-23 08:00:00;"2024-10-23";8;12.8973206740605;9.02812447184237;25.5396390529968
2024-10-23 09:00:00;"2024-10-23";9;13.1832269667555;9.22825887672883;25.484792029646
2024-10-23 10:00:00;"2024-10-23";10;13.4539523237484;9.41776662662391;25.4328505642723
2024-10-23 11:00:00;"2024-10-23";11;13.6943136329631;9.58601954307414;25.3838147185311
2024-10-23 12:00:00;"2024-10-23";12;13.9197210945019;9.74380476615133;25.3405876446164
2024-10-23 13:00:00;"2024-10-23";13;14.1300204883454;9.89101434184181;25.3002660606829
2024-10-23 14:00:00;"2024-10-23";14;14.3252287713242;10.0276601399269;25.2628499193345
2024-10-23 15:00:00;"2024-10-23";15;14.4903894881351;10.1432726416946;25.2317829379022
2024-10-23 16:00:00;"2024-10-23";16;14.6254816312506;10.2378371418754;25.2063125794558
2024-10-23 17:00:00;"2024-10-23";17;0;0;25.1864429387129
